postName,organization,advertisementNo,category,listingSection,state,totalPosts,applicationStartDate,lastDate,admitCardDate,examDate,resultDate,ageMin,ageMax,eligibility,selectionProcess,officialApplyLink,notificationPdfUrl,syllabusLink,feeGENERAL,feeOBC,feeEWS,feeSC_ST,feePWBD,relaxOBC,relaxSC_ST,relaxPWBD
ITBP HC (Motor Mechanic) Online Form 2026,Indo Tibetan Border Police Force (ITBP),,DEFENCE,AUTO,,21,2026-09-28,2026-10-27,,,,18,25,,,https://recruitment.itbpolice.nic.in/,,,,,10,,,,,
SBI Trade Finance Officer Online Form 2026,State Bank of India (SBI),CRPD/SCO/2026-27/15,BANKING,AUTO,,35,2026-08-29,2026-09-28,,,,21,30,,,https://sbi.bank.in/web/careers/current-openings,,,,,750,,0,,,
UPSSSC Junior Engineer JE (Agriculture) Online Form 2026,Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),19-Exam/2026,STATE_PSC,AUTO,Uttar Pradesh,134,2026-09-17,2026-10-07,,,,18,40,,,https://upsssc.gov.in//default.aspx,,,,,25,,,,,
UPSSSC Senior Instructor Online Form 2026,Uttar Pradesh Subordinate Services Selection Commission (UPSSSC),,STATE_PSC,AUTO,Uttar Pradesh,132,2026-09-14,2026-10-05,,,,,,,,https://upsssc.gov.in/,,,,,25,25,,,,
RUHS Medical Officer Online Form 2026,Rajasthan University of Health Sciences (RUHS),,STATE_GOVT,AUTO,Rajasthan,600,2026-09-14,2026-10-13,,2026-12-13,,22,45,,,https://ruhsraj.org/,https://oasis-ruhs-main-bucket.s3.ap-south-1.amazonaws.com/clients/40b5d2dd-07eb-47b1-bdea-ac6acefc4967/template-assets/da3abe86-654a-45fe-8bf5-d210a2ef75e3-Information_Booklet_MODRE-2026.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Checksum-Mode=ENABLED&X-Amz-Credential=AKIA6EBWJAOAKHDBFKPX%2F20260916%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260916T114357Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&x-id=GetObject&X-Amz-Signature=12e6184e6cd6cd093e2d97d7cbcbacd4d7217e358076db9ce6753f609aaa038f,,5000,5000,5000,2500,,,,
RRB Paramedical Staff Online Form 2026,Railway Recruitment Board (RRB),05/2026,RAILWAY,AUTO,,590,2026-09-15,2026-10-14,,,,18,40,"Criteria Nursing Superintendent Certificate as Registered Nurse and Midwife having passed 3 years course in General Nursing and Midwifery from a school of Nursing or other institution recognized by the Indian Nursing Council OR B.Sc Nursing. Note The Indian Nursing Council has also laid down certain special concessions for the above courses in respect of Auxiliary Nurse Midwives, Midwives and B grade Nurses, by way of reduced course period etc. Candidates obtaining the qualification prescribed above under these concessions will also be eligible for recruitment",,https://rrb.indianrailways.gov.in/,,,500,500,500,250,,,,
UPSSSC Veterinary Pharmacist Online Form 2026,Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),18-Exam/2026,STATE_PSC,AUTO,Uttar Pradesh,1308,2026-09-14,2026-10-05,,,,18,40,,,https://upsssc.gov.in//default.aspx,,,,,25,,,,,
UPSSSC Livestock Extension Officer Online Form 2026,Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),17-Exam/2026,STATE_PSC,AUTO,Uttar Pradesh,1251,2026-09-09,2026-09-29,,,,21,40,,,https://upsssc.gov.in//default.aspx,,,,,25,,,,,
UPSSSC Computer Operator Online Form 2026,Uttar Pradesh Subordinate Services Selection Commission (UPSSSC),,STATE_PSC,AUTO,Uttar Pradesh,12,2026-09-07,2026-09-28,,,,,,,,https://upsssc.gov.in//AllNotifications.aspx,,,,,25,25,,,,
UIICL Administrative Officer Online Form 2026,Organization to verify,,CENTRAL_GOVT,AUTO,,225,,2026-09-28,,2026-10-22,,21,30,,,https://uiic.co.in/,https://uiic.co.in/web/sites/default/files/Recruitment_UiiC/UIIC-AO-notification-2026%20final.pdf,,1000,1000,1000,250,250,,,
CSIR NGRI Technician Online Form 2026,"CSIR-National Geophysical Research Institute, NGRI, Telangana",01/2026,STATE_GOVT,AUTO,Telangana,21,,2026-10-04,,,,,,,,https://www.ngri.res.in/,https://tiru.ngri.res.in/ngri_tech/files/NGRI_Advt_Technician2026_hin.pdf,,500,500,500,0,0,,,
UPSSSC OTR One Time Registration Online Form 2026,Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),,STATE_PSC,AUTO,Uttar Pradesh,,,,,,,,,,,https://upsssc.gov.in/,,,,0,,,,,,
RSSB Support Engineer Online Form 2025 (1050 Posts),Rajasthan Staff Selection Board (RSSB),,STATE_PSC,AUTO,Rajasthan,1050,,,,,,21,40,,,https://rssb.rajasthan.gov.in/,https://rssb.rajasthan.gov.in/storage/advertisement_item/1752745060.pdf,,,600,,,,,,
"यूपी पुलिस में होगी 1 लाख नई भर्तियां, छात्रों को मिलेगा मौका",Organization to verify,,CENTRAL_GOVT,AUTO,,100000,,,,,,,,,,,,,,,,,,,,
MP Anganwadi Online Form 2025,Women and Child Development Department (WCD),,STATE_GOVT,AUTO,Madhya Pradesh,19504,,,,,,18,35,,,https://chayan.mponline.gov.in/Portal/Services/WCDR/links.aspx?langid=en-US&Post=WH,,,100,100,100,100,,,,
Bihar SHS Ayush Medical Officer Online Form 2025,Organization to verify,,STATE_GOVT,AUTO,Bihar,2619,,,,,,21,37,,,https://shs.bihar.gov.in/,https://shs.bihar.gov.in/shs/advertisement/1747111395.pdf,,,,,,,,,
MP High Court Class IV Online Form 2025 &#8211; Start,"Madhya Pradesh High Court MPHC, Jabalpur",,STATE_GOVT,AUTO,Madhya Pradesh,78,,,,,,18,35,,,https://mphc.gov.in/,,,200,100,,100,,,,
BSSC Laboratory Assistant Online Form 2025,Bihar Staff Selection Commission (BSSC),,STATE_PSC,AUTO,Bihar,143,,,,,,18,37,,,https://bssc.bihar.gov.in/NoticeBoard.htm,https://www.onlinebssc.com/labassistant25/awscdn/notice/ADVT_0425.pdf,,540,540,,135,,,,
CSIR IITR Junior Stenographer Online Form 2025,CSIR Indian Institute of Toxicology Research IITR Lucknow,IITR/2/2025,CENTRAL_GOVT,AUTO,,4,,,,,,18,27,,,https://iitr.res.in/,https://iitr.res.in/En/jsadv.pdf,,,5,,,,,,
Army 10+2 TES 54 Online Form 2025 &#8211; Start,Join Indian Army,,DEFENCE,AUTO,,90,,,,,,16,19,,,https://joinindianarmy.nic.in/Authentication.aspx,https://joinindianarmy.nic.in/writereaddata/Portal/NotificationPDF/NOTIFICATION_OF_TES-54_COURSE.pdf,,,,,,,,,
UPPSC Various Post Direct Online Form 2025,Uttar Pradesh Public Service Commission (UPPSC),D-2/E-1/2025,STATE_PSC,AUTO,Uttar Pradesh,50,,,,,,21,50,,,https://uppsc.up.nic.in/,,,105,105,105,65,,,,
CSIR NBRI Lucknow Various Post Online Form 2025,CSIR National Botanical Research Institute (NBRI),,CENTRAL_GOVT,AUTO,,30,,,,,,28,31,,,https://nbri.res.in/,,,,5,,,,,,
KGMU Nursing Officer Online Form 2025 &#8211; Start,"King George&#8217;s Medical University Uttar Pradesh, Lucknow, India",,STATE_GOVT,AUTO,Uttar Pradesh,733,,,,,,18,40,,,https://www.kgmu.org/job.php,https://kgmu.edu.in/Notice23-04-2025.pdf,,,,2360,,,,,
UIIC Apprentice Online Form 2025,Organization to verify,,BANKING,AUTO,,145,,,,,,21,28,,,https://uiic.co.in/,https://uiic.co.in/sites/default/files/uploads/recruitment/NOTIFICATION%20%20NORTH%20SIGNED.pdf,,0,0,0,0,0,,,
BHU Junior Clerk Online Form 2025 &#8211; Date Extend,Banaras Hindu University BHU,,CENTRAL_GOVT,AUTO,,191,,,,,,18,30,,,https://bhu.ac.in/,,,500,500,500,0,,,,
Allahabad University Teaching Online Form 2025,University of Allahabad UOA,,TEACHING,AUTO,,317,,,,,,,,,,https://allduniv.ac.in/recruitment_show/156,,,,20,,10,,,,
UKSSSC Assistant Accountant and Other Post Online Form 2025,Uttarakhand Subordinate Service Selection Commission UKSSSC,69/2024,STATE_GOVT,AUTO,Uttarakhand,63,,,,,,18,21,,,https://sssc.uk.gov.in/,,,300,300,150,150,,,,
MPPSC Food Safety Officer FSO Online Form 2025,Madhya Pradesh Public Service Commission MPPSC,,STATE_PSC,AUTO,Madhya Pradesh,120,,,,,,,,,,https://mppsc.mp.gov.in/,https://mppsc.mp.gov.in/uploads/advertisement/Advt_Food_Safety_Officer_Exam_2024_Dated_31_12_20242.pdf,,,250,250,250,,,,
UP Police Jail Warder Online Form 2025,Uttar Pradesh Police Recruitment and Promotion Board (UPPRPB),,POLICE,AUTO,Uttar Pradesh,2833,,,,,,,,,,https://uppbpb.gov.in/Home/Index,,,,,,,,,,
NCRTC Various Post Vacancy Cancelled Notice 2025,National Capital Region Transport Corporation NCRTC,,CENTRAL_GOVT,AUTO,,72,,,,,,18,25,,,https://ncrtc.in/,,,1000,1000,1000,0,,,,
UPPSC Various Post Online Form 2025,Uttar Pradesh Public Service Commission (UPPSC),D-1/E-1/2025,STATE_PSC,AUTO,Uttar Pradesh,36,,,,,,21,40,"Criteria ASSISTANT ARCHITECT,S-10/01 02 Bachelor’s degree in Architecture from a recognized university in India",,https://uppsc.up.nic.in/,,,125,125,125,65,,,,
Allahabad High Court Research Associates Online Form 2025 &#8211; Start,High Court of Judicature at Allahabad (Prayagraj) AHC,,CENTRAL_GOVT,AUTO,,36,,,,,,21,26,,,https://www.allahabadhighcourt.in/,,,,5,,5,,,,
Rail Wheel Factory RWF Apprentices Online Form 2025,Indian Railway,,RAILWAY,AUTO,,192,,,,,,15,24,,,https://www.apprenticeshipindia.gov.in/candidate-login,,,100,100,,0,,,,
UPSC Assistant Professor Online Form 2025,Union Public Service Commission (UPSC),01/2025,UPSC,AUTO,,34,,,,,,,,,,https://upsc.gov.in/,,,,25,25,0,,,,
Union Bank of India Apprentice Online Form 2025 &#8211; Date Extend,Union Bank of India,,BANKING,AUTO,,2691,,,,,,,,,,https://www.unionbankofindia.co.in/en/home,,,,800,,,400,3,5,10
MPPSC Assistant Professor Online Form 2025,Madhya Pradesh Public Service Commission MPPSC,,STATE_PSC,AUTO,Madhya Pradesh,1930,,,,,,,,,,https://mppsc.mp.gov.in/,,,,250,250,250,,,,
Indian Overseas Bank IOB Apprentice Online Form 2025,Indian Overseas Bank,,BANKING,AUTO,,750,,,,,,20,28,,,https://www.iob.in/,,,800,800,800,600,400,,,
IFFCO Apprentice Online Form 2025,Organization to verify,,CENTRAL_GOVT,AUTO,,,,,,,,18,27,,,https://www.iffco.in/en/corporate,,,0,0,0,0,0,,,
SECL Apprentice Online Form 2025,South Eastern Coalfield Limited (SECL),,PSU,AUTO,,800,,,,,,,,,,https://secl-cil.in/index.php,,,0,0,0,0,0,,,
Indian Army NCC Special Entry Scheme 58th Course Online Form 2025,"Indian Army,",,DEFENCE,AUTO,,,,,,,,19,25,,,https://joinindianarmy.nic.in/Authentication.aspx,,,,,0,,,,,
MP Rojgar Panjiyan Online Form 2025,Organization to verify,,STATE_GOVT,AUTO,Madhya Pradesh,,,2025-12-31,,,,,,,,https://mprojgar.gov.in/,,,,,,,,,,
Indian Navy SSC Officer January Online Form 2025,Join Indian Navy (Nausena Bharti),,SSC,AUTO,,270,,,,,,,,,,https://www.joinindiannavy.gov.in/,,,,,,,,,,
NTPC Assistant Executive Online Form 2025,Organization to verify,,PSU,AUTO,,400,,,,,,18,35,,,https://unstop.com/competitions/nationbuilding-case-study-competition-2025-nation-with-namo-1268526?ref=ArpitSeth&utm_medium=Share&utm_source=shortUrl,,,,300,300,0,0,,,
UP Anganwadi Online Form 2024,Organization to verify,,STATE_GOVT,AUTO,Uttar Pradesh,23753,,,,,,18,35,,,https://upanganwadibharti.in/users/registration.php,https://www.upanganwadibharti.in/uploadOrder/ordercopy1737811417.pdf,,,,,,,,,
CSIR IICT Junior Secretariat Assistant Online Form 2025,CSIR-Central Road Research Institute (CRRI),02/2025,CENTRAL_GOVT,AUTO,,15,,,,,,18,28,,,https://iict.res.in/CAREERS,,,,,500,,0,,,
IOCL Apprentice Online Form 2025,Indian Oil Corporation of India (IOCL),,PSU,AUTO,,838,,,,,,18,24,,,https://nats.education.gov.in/student_register.php,,,,,0,,,,,
Indian Air Force Airmen Group-Y Online Form 2025,Join Indian Airforce,,DEFENCE,AUTO,,,,,,,,,,,,https://airmenselection.cdac.in/CASB/,https://airmenselection.cdac.in/CASB/img/notice/Adv_Medical_Asst_Rally_02_25.pdf,,,,,,,,,
Railway RRC NER Gorakhpur Apprentice Online Form 2025,Railway Recruitment Cell (RRC-NER Gorakhpur),,RAILWAY,AUTO,,1104,,,,,,15,24,,,https://ner.indianrailways.gov.in/,,,100,100,0,0,,,,
MPESB Group 4 Online Form 2025,Madhya Pradesh Employees Selection Board (MPESB),,STATE_GOVT,AUTO,Madhya Pradesh,861,,,,,,18,40,,,https://esb.mp.gov.in/e_default.html,,,500,250,250,250,250,,,
Bombay High Court Clerk Online Form 2025,Bombay High Court (BHC),,CENTRAL_GOVT,AUTO,,129,,,,,,18,38,,,https://bombayhighcourt.nic.in/,,,,,100,100,100,,,
BHEL Engineer Trainee and Supervisor Trainee Online Form 2025,Bharat Heavy Electricals Limited (BHEL),,PSU,AUTO,,400,,,,,,18,27,,,https://careers.bhel.in/index.jsp,,,,,795,295,295,,,
Mazagon Dock MDL Graduate/ Diploma Apprentice Online Form 2025,"Mazagon Dock Limited (MDL) , Mumbai",,PSU,AUTO,,200,,,,,,18,27,,,https://mazagondock.in/,https://mazagondock.in/app/writereaddata/career/MDL_ATS_BOAT_Batch_2024_25_Rules_Regulations_AdvtNo_-_MDLATS-02-2024_15012025_115202534553PM.pdf,,,,,,,10,3,
KSSSCI Non-Teaching Online Form 2025,Kalyan Singh Super Specialty Cancer Institute (KSSSCI),,TEACHING,AUTO,,57,,,,,,,,,,https://cancerinstitute.edu.in/index.php,,,,,1180,708,,,,
Indian Army SSC Tech Online Form 2025 &#8211; Start,Join Indian Army,,SSC,AUTO,,381,,,,,,20,27,,,https://joinindianarmy.nic.in/default.aspx,https://cbcindia.gov.in/cbc/public/uploads/client-request/English-10601-11-0013-2425-676d4d392cb52-1735216441-creatives.pdf,,,,,,,,,
DEPUTY SECRETARY (I.T.) IN UPPSC,Uttar Pradesh Public Service Commission,,STATE_PSC,AUTO,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/OuterPages/UserHelp.aspx?ID=558,,,,,,,,,,
