postName,organization,advertisementNo,category,listingSection,state,totalPosts,applicationStartDate,lastDate,admitCardDate,examDate,resultDate,ageMin,ageMax,eligibility,selectionProcess,officialApplyLink,notificationPdfUrl,syllabusLink,feeGENERAL,feeOBC,feeEWS,feeSC_ST,feePWBD,relaxOBC,relaxSC_ST,relaxPWBD
SSC CPO SI CAPF Online Form 2026,"Staff Selection Commission (SSC),",,SSC,AUTO,,87,2026-09-10,2026-09-30,,,,20,25,,,https://ssc.nic.in,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/Notice_of_adv_capf_2026.pdf,,9,100,100,,,,5,
Indian Army TGC 145 Online Form 2026,Join Indian Army,,DEFENCE,AUTO,,30,,2026-10-29,,,,20,27,,,https://joinindianarmy.nic.in/officers-notifications.htm,,,145,,,,,,,
UP Anganwadi Bharti Online Form 2026 (Updated),CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,,RAILWAY,AUTO,Uttar Pradesh,60000,,2026-10-08,,,,18,35,,,https://upanganwadibharti.in/users/registration.php,https://upanganwadibharti.in/helper-v2/uploadOrder/ordercopy1789639672.pdf,,460,,,,,,,
Indian Army Dental Corps Online Form 2026,Join Indian Army,,DEFENCE,AUTO,,37,,2026-10-22,,,,,,,,https://join.afms.gov.in/,,,200,200,,,,,,
ITBP HC (Motor Mechanic) Online Form 2026,Indo Tibetan Border Police Force (ITBP),,DEFENCE,AUTO,,21,2026-09-28,2026-10-27,,,,18,25,,,https://recruitment.itbpolice.nic.in/,,,10,10,10,7,,7,7,
MECL Non-Executive Online Form 2026,Mineral Exploration & Consultancy Limited (MECL),03/Rectt./2026,PSU,AUTO,,122,2026-09-12,2026-10-11,,,,,,"criteria (Cut-off Date) 01.09.2026 2 Commencement of Online Registration for submitting applications 12.09.2026 3 Closing date for submitting applications through website 11.10.2026 Advt. No. 03/Rectt./2026 GENERAL MANAGER (HR) Page 18 of 18 18 18 File No. RECTR/44/2026-HR-MECL (Computer No. 10891) Generated from eOffice by SUNIL KR. VARUN, SR.MNGR (HR) - SKV - HR, SENIOR MANAGER (HR), MECL NAGPUR on 31/08/2026 06:18 pm",,https://www.mecl.co.in/,https://mecl.co.in/writereaddata/meclpdf/Final_Advt_03R26.pdf,,500,500,500,,,,,
SBI Trade Finance Officer Online Form 2026,State Bank of India (SBI),CRPD/SCO/2026-27/15,BANKING,AUTO,,35,2026-08-29,2026-09-28,,,,21,30,,,https://sbi.bank.in/web/careers/current-openings,,,750,750,750,,,,,
HPSC Food Safety Officer (FSO) Online Form 2026,Haryana Public Service Commission (HPSC),25/2026,STATE_PSC,AUTO,Haryana,45,2026-09-28,2026-10-19,,,,18,42,,,https://hpsc.gov.in/en-us/,https://hpsc.gov.in/Portals/0/Advt_25_2026_FSO_18_09_2026.pdf,,1000,,250,,,,,
JSSC 10+2 Inter Level JILCCE Online form 2026,Jharkhand Staff Selection Commission (JSSC),03/2026,STATE_PSC,AUTO,Jharkhand,326,2026-08-05,2026-09-04,,,,35,40,,,https://jssc.jharkhand.gov.in/,https://jssc.jharkhand.gov.in/sites/default/files/Notice%20for%20JILCCE-2026.pdf,,100,,100,50,,,,
MPESB Primary and Secondary Teachers MSPSTET Online Form 2026,Madhya Pradesh Employees Selection Board (MPESB),,STATE_GOVT,AUTO,Madhya Pradesh,2026,2026-08-21,2026-10-05,,2026-10-12,,18,40,,,https://esb.mp.gov.in/e_default.html,https://esb.mp.gov.in/Advertisement/ADV_2026/MSTET_PSTET_2026_for_teacher_FormDate_Change_18092026.pdf,,1000,,,,,,,
"MPESB Subedar Steno, ASI Online Form 2026",Madhya Pradesh Employees Selection Board (MPESB),,STATE_GOVT,AUTO,Madhya Pradesh,655,2026-09-24,2026-10-08,,,,,,,,https://esb.mp.gov.in/e_default.html,https://esb.mp.gov.in/Rulebooks/RB_2026/Steno_ASI_2026_Rulebook_17092026.pdf,,500,250,,250,,,,
UP Special TET Online Form 2026,Uttar Pradesh Education Service Selection Commission (UPESSC),,TEACHING,AUTO,Uttar Pradesh,2026,2026-09-05,2026-10-04,,2026-11-03,,,,,,https://www.upessc.up.gov.in/,https://www.upessc.up.gov.in/Notice/badc-2f84-4983-44c3-12bf.pdf,https://www.upessc.up.gov.in/syllabus/3c14a64c-793d-4b65-9d67-5cc75d255c84.pdf,1000,1000,1000,500,,,,
"Rajasthan Safai Karmchari Online Form 2026 (24,752 posts)","Local Self Government Department, Rajasthan,",01/2026,STATE_GOVT,AUTO,Rajasthan,24752,2026-08-15,2026-09-28,,,,21,40,,,https://lsg.rajasthan.gov.in/lsg/#/home/dptHome,https://jankalyanfile.rajasthan.gov.in/WebMyWayFiles/OrderEntry/LSG/2026/Recruitment_Related/O_270726_b3f2c06b-6021-49a2-9661-14cdb0f93dd0.pdf,,600,400,,,,,,
UPSSSC Junior Engineer JE (Agriculture) Online Form 2026,Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),19-Exam/2026,STATE_GOVT,AUTO,Uttar Pradesh,134,2026-09-17,2026-10-07,,,,18,40,,,https://upsssc.gov.in//default.aspx,,,25,25,25,,,,,
UPSSSC Senior Instructor Online Form 2026,Uttar Pradesh Subordinate Services Selection Commission (UPSSSC),,STATE_GOVT,AUTO,Uttar Pradesh,132,2026-09-14,2026-10-05,,,,,,,,https://upsssc.gov.in/,,,25,25,25,25,,,,
UPSC Engineering Services Pre Online Form 2027,Union Public Service Commission (UPSC),02/2027,STATE_PSC,AUTO,,480,2026-09-16,2026-10-06,,2027-01-31,,21,30,"is …………………………………………… 2. I do hereby state that ……………………………………. (name of the scribe) will provide the service of scribe for the undersigned for taking the aforementioned examination. 3. I do hereby undertake that his qualification is ………………………………. In case, subsequently it is found that his qualification is not as declared by the undersigned and is beyond my qualification. I shall forfeit my right to the post or certificate/diploma/degree and claims relating thereto. (Signature of the candidate) Place: Date: ******** 62",,https://upsconline.nic.in,https://www.upsc.gov.in/sites/default/files/Notif-ESEP-2027-Engl-160926.pdf,,200,200,,,,,,
RUHS Medical Officer Online Form 2026,Rajasthan University of Health Sciences (RUHS),,STATE_GOVT,AUTO,Rajasthan,600,2026-09-14,2026-10-13,,2026-12-13,,22,45,,,https://ruhsraj.org/,https://oasis-ruhs-main-bucket.s3.ap-south-1.amazonaws.com/clients/40b5d2dd-07eb-47b1-bdea-ac6acefc4967/template-assets/da3abe86-654a-45fe-8bf5-d210a2ef75e3-Information_Booklet_MODRE-2026.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Checksum-Mode=ENABLED&X-Amz-Credential=AKIA6EBWJAOAKHDBFKPX%2F20260916%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260916T114357Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&x-id=GetObject&X-Amz-Signature=12e6184e6cd6cd093e2d97d7cbcbacd4d7217e358076db9ce6753f609aaa038f,,5000,5000,5000,2500,,,,
UKSSSC Group C Scaler Online Form 2026,Uttarakhand Subordinate Service Selection Commission UKSSSC,82/UKSSSC/2026,STATE_GOVT,AUTO,Uttarakhand,200,2026-09-22,2026-10-22,,2026-11-19,,18,28,,,https://sssc.uk.gov.in/,https://cdnbbsr.s3waas.gov.in/s34ffd0e19d2069412274bd3025b0e176c/uploads/2026/09/202609151072597881.pdf,,300,300,150,150,,,,
SBI SCO Wealth & Other Post Online Form 2026,State Bank of India (SBI),CRPD/SCO/2026-27/23,BANKING,AUTO,,207,2026-09-04,2026-09-25,,,,23,3,,,https://sbi.bank.in/web/careers/current-openings,,,750,750,750,,,,,
MP High Court Assistant Grade III Online Form 2026,"Madhya Pradesh High Court MPHC, Jabalpur",614/Exam/2026,STATE_GOVT,AUTO,Madhya Pradesh,1174,2026-08-17,2026-09-30,,,,18,40,,,https://mphc.gov.in/,https://portal.mphc.gov.in/PDF/web_pdf/RE/Notification%20AG-III%20date%20extension%2015.09.2026.pdf,,943,743,743,743,,,,
Delhi High Court SPA & PA Online Form 2026,High Court of Delhi,,STATE_GOVT,AUTO,Delhi,150,2026-09-15,2026-10-05,,,,18,32,"mentioned should be from a University/ Institution/ Board recognised by Govt. of India/ approved by Govt. Regulatory Bodies and the final result should have been declared on or before the closing date for receipt of online applications. (ii) The candidates shall submit separate application for each post, i.e., SPA and PA along with the requisite fee for each application/post. Page 2 of 14 (iii) Since there is no vacancy under the General category for the post of Personal Assistant (PA), all clauses in this Vacancy Notice pertaining to the General category shall be applicable only to the post of Senior Personal Assistant (SPA). (iV) No off-line application will be accepted/entertained. (v) Date of Examinations will be intimated later. Candidates are advised to regularly visit the official website of Delhi High Court i.e. www.delhihighcourt.nic.in for updates. III",,https://www.delhihighcourt.nic.in/web/job-openings,https://www.delhihighcourt.nic.in/files/2026-09/recuritment/vacancy_circular_for_spa.pdf,,1300,1300,1300,1300,1300,13,5,10
RRB Paramedical Staff Online Form 2026,Railway Recruitment Board (RRB),05/2026,RAILWAY,AUTO,,590,2026-09-15,2026-10-14,,,,18,40,"Criteria Nursing Superintendent Certificate as Registered Nurse and Midwife having passed 3 years course in General Nursing and Midwifery from a school of Nursing or other institution recognized by the Indian Nursing Council OR B.Sc Nursing. Note The Indian Nursing Council has also laid down certain special concessions for the above courses in respect of Auxiliary Nurse Midwives, Midwives and B grade Nurses, by way of reduced course period etc. Candidates obtaining the qualification prescribed above under these concessions will also be eligible for recruitment",,https://rrb.indianrailways.gov.in/,,,500,500,500,250,,,,
UPSSSC Veterinary Pharmacist Online Form 2026,Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),18-Exam/2026,STATE_GOVT,AUTO,Uttar Pradesh,1308,2026-09-14,2026-10-05,,,,18,40,,,https://upsssc.gov.in//default.aspx,,,25,25,25,,,,,
UPSC 11/2026 Various Posts Online Form 2026,Union Public Service Commission (UPSC),11/2026,STATE_PSC,AUTO,,212,2026-09-12,2026-10-02,,,,,,,,https://upsconline.nic.in,https://www.upsc.gov.in/sites/default/files/AdvtNo-11-2026-Engl-100926.pdf,,30,25,25,,,,,
UKPSC Upper PCS Online Form 2026,Uttarakhand Public Service Commission (UKPSC),A-1/E-1/2026-27,STATE_PSC,AUTO,Uttarakhand,67,2026-09-09,2026-09-29,,,,21,42,,,https://psc.uk.gov.in/,https://pscuk.net.in/public/advertisements/1788950135_6aa1367703eefPCS%20Advertisement%202026%20real.pdf,,166,166,166,76,,,,
BPSSC Bihar Police Company Commander Online Form 2026,Bihar Police Subordinate Services Commission BPSSC,11/2026,POLICE,AUTO,Bihar,65,2026-09-10,2026-10-10,,,,24,50,,,https://bpssc.bihar.gov.in/,https://bpssc.bihar.gov.in/Notices/Advt%20No.-11-2026.pdf,,100,,,,,,,
Bank of India BOI SO Online Form 2026,"Bank of India BOI,",,BANKING,AUTO,,205,2026-09-10,2026-09-25,,,,21,30,,,https://bankofindia.co.in/,https://bankofindia.bank.in/documents/20121/28761619/FINAL_ANNEXURE_I.pdf,,1180,1180,1180,175,175,,,
UPSSSC Livestock Extension Officer Online Form 2026,Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),17-Exam/2026,STATE_GOVT,AUTO,Uttar Pradesh,1251,2026-09-09,2026-09-29,,,,21,40,,,https://upsssc.gov.in//default.aspx,,,25,25,25,,,,,
RRC SR Apprentice Online Form 2026 (4471 Posts),Railway Recruitment Cell (RRC-SR),,RAILWAY,AUTO,,4471,2026-08-28,2026-09-27,,,,15,22,,,https://sr.indianrailways.gov.in/index.jsp?lang=0,,,100,100,100,,,,,
GIMS Noida Staff Nurse Online Form 2026,"Government Institute of Medical Sciences (GIMS), Noida",GIMS/2026/Manpower/NT-03/10,CENTRAL_GOVT,AUTO,,100,2026-08-10,2026-09-07,,,,21,40,(i) B.Sc Nursing (4 years course) from an Indian Nursing Council / State Medical Faculty recognized Institute or University or B.Sc. Nursing (Post Basic) (2 Years Course) from an Indian Nursing Council recognized institute/university. (ii) Registered as Nurse & Midwife in State/Indian Nursing Council OR 11 (i) Diploma in General Nursing Midwifery (G.N.M) from an Indian Nursing Council recognized Institute/ Board or Council (ii) Registered as Nurse & Midwife in State/ Indian Nursing Council. (iii) Two Years experience in a minimum 50 bedded hospital after acquiring the educational qualification mentioned above. 3. Relaxation in,,https://www.gims.ac.in/recruitment.html,https://www.gims.ac.in/assets/pdf/DetailedAdv1.pdf,,1298,1298,1100,,,,,
UPSSSC Computer Operator Online Form 2026,Uttar Pradesh Subordinate Services Selection Commission (UPSSSC),,STATE_GOVT,AUTO,Uttar Pradesh,12,2026-09-07,2026-09-28,,,,,,,,https://upsssc.gov.in//AllNotifications.aspx,,,25,25,25,25,,,,
UIICL Administrative Officer Online Form 2026,CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,,RAILWAY,AUTO,,225,,2026-09-28,,2026-10-22,,21,30,,,https://uiic.co.in/,https://uiic.co.in/web/sites/default/files/Recruitment_UiiC/UIIC-AO-notification-2026%20final.pdf,,1000,1000,1000,250,250,,,
CSIR NGRI Technician Online Form 2026,"CSIR-National Geophysical Research Institute, NGRI, Telangana",01/2026,STATE_GOVT,AUTO,Telangana,21,,2026-10-04,,,,,,,,https://www.ngri.res.in/,https://tiru.ngri.res.in/ngri_tech/files/NGRI_Advt_Technician2026_hin.pdf,,1,500,500,,,,,
Bank of Baroda SO Online Form 2026 (1100 Posts),Bank of Baroda (BOB),BOB/HRM/REC/ADVT/2026/17,BANKING,AUTO,,1100,2026-09-04,2026-09-24,,,,,,,,https://www.bankofbaroda.in/,https://bankofbaroda.bank.in/-/media/Project/BOB/CountryWebsites/India/Career/2026/26-09/Advertisement-WMS-CIC-04-09-2026-03-43.pdf,,850,850,850,175,175,,,
"CONCOR MT, Assistant Officer Online Form 2026",Container Corporation of India Ltd. (CONCOR),05/2026,PSU,AUTO,,77,2026-08-31,2026-09-30,,,,18,28,,,https://www.concorindia.co.in/recruitment-notice?lang=hi,https://cms.concorindia.co.in:8000/uploads/cms/pdf/Asf6Xc3Mnw5BWdp_FinalAdvertisement-18thAug2026(Published).pdf,,750,750,750,,,,,
PFRDA Assistant Manager Online Form 2026,Pension Fund Regulatory and Development Authority PFRDA,03/2026,CENTRAL_GOVT,AUTO,,30,2026-09-03,2026-09-24,,2026-10-15,,,,,,https://pfrda.org.in/get-to-know/careers/vacancies,https://pfrda.org.in/documents/33652/212847/Recruitment+of+Officer+Grade+A+%28Assistant+Manager%29-2026.pdf,,1000,1000,1000,,,,,
IIT BHU Non Teaching Online Form 2026,Indian Institute of Technology (BHU),03/2026-27,TEACHING,AUTO,,21,2026-08-25,2026-09-24,,,,,,,,https://iitbhunt.samarth.edu.in,https://www.iitbhu.ac.in/contents/institute/2026/alerts/alerts_adv_032026-27.pdf,,500,500,500,,,,,
NIC Scientific / Technical Assistant Online Form 2026,The age limit for MPESB,NIC/STA/2026/2,CENTRAL_GOVT,AUTO,,376,2026-09-01,2026-09-30,,,,,,,,https://www.nic.gov.in/,https://recruitment.nic.in/DetailedSTA.pdf,,800,800,800,,,,,
UKSSSC Group C Various Post Online Form 2026,Uttarakhand Subordinate Service Selection Commission UKSSSC,80/UKSSSC/2026,STATE_GOVT,AUTO,Uttarakhand,553,2026-09-08,2026-10-07,,2026-11-15,,18,42,,,https://sssc.uk.gov.in/,https://cdnbbsr.s3waas.gov.in/s34ffd0e19d2069412274bd3025b0e176c/uploads/2026/08/202608311041608906.pdf,,300,300,150,150,,,,
Bihar BCECEB BSFC Various Post Online Form 2026,Bihar Combined Entrance Competitive Examination Board (BCECEB),,STATE_GOVT,AUTO,Bihar,259,2026-08-25,2026-09-24,,,,21,37,,,https://bceceboard.bihar.gov.in/,https://bceceboard.bihar.gov.in/pdf_Adv/ADV_BSFC26_01.pdf,,1200,,1200,600,,,,
UPSSSC OTR One Time Registration Online Form 2026,Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),,STATE_GOVT,AUTO,Uttar Pradesh,2026,,,,,,,,,,https://upsssc.gov.in/,,,,,,,,,,
RSSB Support Engineer Online Form 2025 (1050 Posts),Rajasthan Staff Selection Board (RSSB),,STATE_GOVT,AUTO,Rajasthan,1050,,2026-01-01,,,,21,40,,,https://rssb.rajasthan.gov.in/,https://rssb.rajasthan.gov.in/storage/advertisement_item/1752745060.pdf,,600,600,600,,,,,
"यूपी पुलिस में होगी 1 लाख नई भर्तियां, छात्रों को मिलेगा मौका",CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,,RAILWAY,AUTO,,100000,,,,,,,,,,,,,,,,,,,,
MP Anganwadi Online Form 2025,Women and Child Development Department (WCD),,STATE_GOVT,AUTO,Madhya Pradesh,19504,,,,,,18,35,,,https://chayan.mponline.gov.in/Portal/Services/WCDR/links.aspx?langid=en-US&Post=WH,,,100,100,100,100,,,,
Bihar SHS Ayush Medical Officer Online Form 2025,CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,,RAILWAY,AUTO,Bihar,2619,,,,,,21,37,,,https://shs.bihar.gov.in/,https://shs.bihar.gov.in/shs/advertisement/1747111395.pdf,,40,,40,,,,,
MP High Court Class IV Online Form 2025 &#8211; Start,"Madhya Pradesh High Court MPHC, Jabalpur",,STATE_GOVT,AUTO,Madhya Pradesh,78,,,,,,18,35,,,https://mphc.gov.in/,,,200,100,,100,,,,
BSSC Laboratory Assistant Online Form 2025,Bihar Staff Selection Commission (BSSC),,SSC,AUTO,,143,,,,,,18,37,,,https://bssc.bihar.gov.in/NoticeBoard.htm,https://www.onlinebssc.com/labassistant25/awscdn/notice/ADVT_0425.pdf,,540,540,,135,,,,
CSIR IITR Junior Stenographer Online Form 2025,CSIR Indian Institute of Toxicology Research IITR Lucknow,IITR/2/2025,CENTRAL_GOVT,AUTO,,4,,,,,,18,27,,,https://iitr.res.in/,https://iitr.res.in/En/jsadv.pdf,,5,5,5,,,1,,
Army 10+2 TES 54 Online Form 2025 &#8211; Start,Join Indian Army,,DEFENCE,AUTO,,90,,,,,,16,19,,,https://joinindianarmy.nic.in/Authentication.aspx,https://joinindianarmy.nic.in/writereaddata/Portal/NotificationPDF/NOTIFICATION_OF_TES-54_COURSE.pdf,,,,,,,,,
UPPSC Various Post Direct Online Form 2025,Uttar Pradesh Public Service Commission (UPPSC),D-2/E-1/2025,STATE_PSC,AUTO,Uttar Pradesh,50,,,,,,21,50,,,https://uppsc.up.nic.in/,,,105,105,105,65,,,,
CSIR NBRI Lucknow Various Post Online Form 2025,CSIR National Botanical Research Institute (NBRI),,CENTRAL_GOVT,AUTO,,30,,,,,,28,31,,,https://nbri.res.in/,,,5,5,5,,,,,
KGMU Nursing Officer Online Form 2025 &#8211; Start,"King George&#8217;s Medical University Uttar Pradesh, Lucknow, India",,STATE_GOVT,AUTO,Uttar Pradesh,733,,,,,,18,40,,,https://www.kgmu.org/job.php,https://kgmu.edu.in/Notice23-04-2025.pdf,,2360,2360,2360,1416,,,,
UIIC Apprentice Online Form 2025,CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,,RAILWAY,AUTO,,145,,,,,,21,28,,,https://uiic.co.in/,https://uiic.co.in/sites/default/files/uploads/recruitment/NOTIFICATION%20%20NORTH%20SIGNED.pdf,,,,,,,,,
BHU Junior Clerk Online Form 2025 &#8211; Date Extend,Banaras Hindu University BHU,,CENTRAL_GOVT,AUTO,,191,,,,,,18,30,,,https://bhu.ac.in/,,,500,500,500,,,,,
Allahabad University Teaching Online Form 2025,University of Allahabad UOA,,TEACHING,AUTO,,317,,,,,,,,,,https://allduniv.ac.in/recruitment_show/156,,,20,20,20,10,,,,
UKSSSC Assistant Accountant and Other Post Online Form 2025,Uttarakhand Subordinate Service Selection Commission UKSSSC,69/2024,STATE_GOVT,AUTO,Uttarakhand,63,,,,,,18,21,,,https://sssc.uk.gov.in/,,,300,300,150,150,,,,
Bihar CET B.Ed Online Form 2025 &#8211; Start,Lalit Narayan Mithila University (LNMU),,STATE_GOVT,AUTO,Bihar,2025,,,,,,,,,,http://biharcetbed-lnmu.in/,,,1000,,75,500,,,,
MPPSC Food Safety Officer FSO Online Form 2025,Madhya Pradesh Public Service Commission MPPSC,,STATE_PSC,AUTO,Madhya Pradesh,120,,,,,,,,,,https://mppsc.mp.gov.in/,https://mppsc.mp.gov.in/uploads/advertisement/Advt_Food_Safety_Officer_Exam_2024_Dated_31_12_20242.pdf,,500,250,250,250,,,,
UP Police Jail Warder Online Form 2025,Uttar Pradesh Police Recruitment and Promotion Board (UPPRPB),,POLICE,AUTO,Uttar Pradesh,2833,,,,,,,,,,https://uppbpb.gov.in/Home/Index,,,,,,,,,,
NCRTC Various Post Vacancy Cancelled Notice 2025,National Capital Region Transport Corporation NCRTC,,CENTRAL_GOVT,AUTO,,72,,,,,,18,25,,,https://ncrtc.in/,,,1000,1000,1000,,,,,
UPPSC Various Post Online Form 2025,Uttar Pradesh Public Service Commission (UPPSC),D-1/E-1/2025,STATE_PSC,AUTO,Uttar Pradesh,36,,,,,,21,40,"Criteria ASSISTANT ARCHITECT,S-10/01 02 Bachelor’s degree in Architecture from a recognized university in India",,https://uppsc.up.nic.in/,,,125,125,125,65,,,,
Allahabad High Court Research Associates Online Form 2025 &#8211; Start,High Court of Judicature at Allahabad (Prayagraj) AHC,,CENTRAL_GOVT,AUTO,,36,,,,,,21,26,,,https://www.allahabadhighcourt.in/,,,5,5,5,5,,,,
Rail Wheel Factory RWF Apprentices Online Form 2025,Indian Railway,,RAILWAY,AUTO,,192,,,,,,15,24,,,https://www.apprenticeshipindia.gov.in/candidate-login,,,100,100,,,,,,
UPSC Assistant Professor Online Form 2025,Union Public Service Commission (UPSC),01/2025,STATE_PSC,AUTO,,34,,,,,,,,,,https://upsc.gov.in/,,,25,25,25,,,,,
Union Bank of India Apprentice Online Form 2025 &#8211; Date Extend,Union Bank of India,,BANKING,AUTO,,2691,,,,,,,,,,https://www.unionbankofindia.co.in/en/home,,,800,800,10,600,400,3,5,10
MPPSC Assistant Professor Online Form 2025,Madhya Pradesh Public Service Commission MPPSC,,STATE_PSC,AUTO,Madhya Pradesh,1930,,,,,,,,,,https://mppsc.mp.gov.in/,,,500,250,250,250,,,,
Indian Overseas Bank IOB Apprentice Online Form 2025,Indian Overseas Bank,,BANKING,AUTO,,750,,,,,,20,28,,,https://www.iob.in/,,,800,800,800,600,400,,,
IFFCO Apprentice Online Form 2025,CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,,RAILWAY,AUTO,,2025,,,,,,18,27,,,https://www.iffco.in/en/corporate,,,,,,,,,,
SECL Apprentice Online Form 2025,South Eastern Coalfield Limited (SECL),,PSU,AUTO,,800,,,,,,,,,,https://secl-cil.in/index.php,,,,,,,,,,
Indian Army NCC Special Entry Scheme 58th Course Online Form 2025,"Indian Army,",,DEFENCE,AUTO,,2025,,,,,,19,25,,,https://joinindianarmy.nic.in/Authentication.aspx,,,,,,,,,,
MP Rojgar Panjiyan Online Form 2025,CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,,RAILWAY,AUTO,Madhya Pradesh,2025,,2025-12-31,,,,,,,,https://mprojgar.gov.in/,,,,,,,,,,
Indian Navy SSC Officer January Online Form 2025,Join Indian Navy (Nausena Bharti),,SSC,AUTO,,270,,,,,,,,,,https://www.joinindiannavy.gov.in/,,,60,,,,,,,
NTPC Assistant Executive Online Form 2025,CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,,RAILWAY,AUTO,,400,,,,,,18,35,,,https://unstop.com/competitions/nationbuilding-case-study-competition-2025-nation-with-namo-1268526?ref=ArpitSeth&utm_medium=Share&utm_source=shortUrl,,,,300,300,,,,,
UP Anganwadi Online Form 2024,CGL Tier-I Exam City Details 2026 Railway RRB ALP Exam Date 2026 MPESB,,RAILWAY,AUTO,Uttar Pradesh,23753,,,,,,18,35,,,https://upanganwadibharti.in/users/registration.php,https://www.upanganwadibharti.in/uploadOrder/ordercopy1737811417.pdf,,175,,,,,,,
