postName,organization,advertisementNo,category,listingSection,state,totalPosts,applicationStartDate,lastDate,admitCardDate,examDate,resultDate,ageMin,ageMax,eligibility,selectionProcess,officialApplyLink,notificationPdfUrl,syllabusLink,feeGENERAL,feeOBC,feeEWS,feeSC_ST,feePWBD,relaxOBC,relaxSC_ST,relaxPWBD
"CORRIGENDUM NOTICE REGARDING ADVT. NO. D-6/E-1/2025, FOOD SAFETY AND DRUG ADMINI..",Uttar Pradesh Public Service Commission,9e/N67tZBYnGRqAqQmw8p0JFR/BBuz480G8bGhVlsnhQnaCN2WfwFAW42XFUS8DtaNRgXlSgyhLh3LgNu97Lii,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"LIST OF PROVISIONALLY SELECTED CANDIDATES IN ADVT. NO. A-5/E-1/2025, ASSISTANT ..",Uttar Pradesh Public Service Commission,wlVgJn8mvn4/94EbkCbcpMkmGrgtn3Spo03v06qBZ,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING INTERVIEW SCHEDULE OF ADVT. NO. A-1/E-1/2025, COMBINED STATE/UP..",Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"RESULT OF ADVT. NO.D-2/E-1/2024, UTTAR PRADESH AYUSH (AYURVEDA) DEPARTMENT, Read..",Uttar Pradesh Public Service Commission,GpFn5hdH74OQUQ37B,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
LIST OF CANDIDATES PROVISIONALLY QUALIFIED FOR INTERVIEW IN ADVT. NO. A-1/E-1/2..,Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT. NO. D-6/E-1/2025, DIRECTORATE OF AYURVEDA UTTAR PRADESH, ..",Uttar Pradesh Public Service Commission,67KVtNYM75IwBfNHYgf,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT. NO. D-6/E-1/2025, DIRECTORATE OF AYURVEDA UTTAR PRADESH, ..",Uttar Pradesh Public Service Commission,ofTn/q6PoEOnlv2gEknwz,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"SUPPLEMENTRY LIST OF SELECTED CANDIDATES IN ADVT. NO. A-7/E-1/2021, U.P. TECHNIC..",Uttar Pradesh Public Service Commission,MPxSYumF/SQQMTiagOy5/ntsDWc2G,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING DOWNLOAD MARKSHEET & CUT OFF FOR ADVT. NO. D-5-E-1-2025, [S-03-..",Uttar Pradesh Public Service Commission,HTSmDTa6yGxOAjiAy5hlGjS1u2CNkJkZPsC/J6BaWTKaimgdlRsPXo4YCOpRUgi40FRW3MrS3WU162IXa9oIShz0ahtMPq7AkJuVlsVge5l8HRpt1TNgDx28BT7zpY4UxNzwE36AfBMr3buCos5H63LyFholHxGoFMMWHdNsEx89hb0Fpo4CaOSpQXlZoadIdJALlPDpOTrvKDpaeacgP/ztQpmzRZZxvHE3yWwAlJs8uVaCRYu6mjosYYdiq7zgGNtDLlXuLsQ0hFcEMhBjBOaoib5avCP8aJWSZ95BYKRIAKorx8z1j7CjJdQE8NCJmi3ayVcenVPMs6KCL9qYAgyCoSNw5Itoe,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADMIT CARD OF ADVT. NO. A-7/E-1/2025, ASSISTANT PROFESSOR, GOVT..",Uttar Pradesh Public Service Commission,5GQFYyo7UbdtuifLHxUDFMHv72RKSBmlgoNoH2,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING FOR ADVT NO. A-10/E-1/2025, ASSISTANT TOWN PLANNER (SPL. RECT.)..",Uttar Pradesh Public Service Commission,SHHq7LaHcsj7GxP7g0OafPAzqSJ9WEQZ3PZ3u2rrC4vMB96BzouxHcucdwKtJPWgCXFVTH3XfDezEKOkcz3OMkEAigqvv8EMhCZgoIbQmjrDsfc3fY7GxtVb7IbJZL20,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REAGARDING DOCUMENT VERIFICATION FOR ADVT. NO. A-4/E-1/2025, COMPUTER ASS..",Uttar Pradesh Public Service Commission,1Y2sM90JY/VCKRPEhBbvorAhaJQkAygG4k2hgzezMPmuXN5ztVnlYQfWAibXkfdrxi4kmQqDuag2k6rPvoEClh1sQeIZfzrFko,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
LIST OF CANDIDATES PROVISIONALLY QUALIFIED FOR MAINS IN ADVT. NO. A-10/E-1/2025..,Uttar Pradesh Public Service Commission,69ArVfHeIKZ8F,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADMIT CARD OF ADVT. NO. A-7/E-1/2025, ASSISTANT PROFESSOR, GOVT..",Uttar Pradesh Public Service Commission,xWzPCdZ82H/ta5XLaWklkpGEbgZVcTutx59sGgEqS/59axTQjIedyVWvSZKcZAm8/2/FKsrtpT0g/DeN6lADFUlG0gX0OsegWvsZyCe7jmOzctJvf4xYmPWtqaXjyZAb/fV,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT. NO. D-2/E-1/2025, DIRECTORATE OF MEDICAL AND HEALTH SERVI..",Uttar Pradesh Public Service Commission,P0lOBdh6X6GzBS,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT.NO. A-2-E-1-2020, REGIONAL INSPECTOR (TECHNICAL) EXAM-2020",Uttar Pradesh Public Service Commission,9m/mP,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT.NO. D-2/E-1/2024, Reader Rachna Shareer, S-9/04 U.P. AYUSH..",Uttar Pradesh Public Service Commission,g/otoiitLarZF2wybAZsnke/nL7rFhWzYs0AHdZDFiySmBfc/tRjp/uxYDfpra6KJ/zIm2W8e0XdOwL5v7XpgUjqo3vaBN1UApc,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT.NO. D-5/E-1/2025, DEPUTY SECRETARY (I.T.), S-10/04 U.P. PU..",Uttar Pradesh Public Service Commission,HEJqgOSZEFlvZ519CyFD9MtNOUF77Cf8jsfQmKETxhqhKXFZZ7XTIf6YR27rNDfB9vZCjFddwXeaeOrCl1f0ofoLF5WJKxeZkNNCvfeFVEYdD,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"LIST OF PROVISIONALLY SELECTED CANDIDATES IN ADVT. NO. A-5/E-1/2025, ASSISTANT T..",Uttar Pradesh Public Service Commission,2fAAYh3H3SXuz2bZli2FAsxWSPhICx0Na,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"LIST OF PROVISIONALLY SELECTED CANDIDATES IN ADVT. NO. A-5/E-1/2025, ASSISTANT T..",Uttar Pradesh Public Service Commission,P7aZXGwNeO,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"LIST OF PROVISIONALLY SELECTED CANDIDATES IN ADVT. NO. A-4/E-1/2025, COMPUTER A..",Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"LIST OF CANDIDATES QUALIFIED FOR INTERVIEW IN ADVT. NO. A-7/E-1/2021, U.P. TECH...",Uttar Pradesh Public Service Commission,eXMx8S3OSGKvhSGq4EiI71TwdTkUlPwFL464RQMxW3AVPP4DeeSENKRGXogMUZb5wtJrcEK3UmEGVx9NPPAKlssmxeba/x7LOWRSpI4tt,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"LIST OF SELECTED CANDIDATES IN ADVT. NO. A-7/E-1/2021, U.P. TECH. EDU.(TCHG.) SE..",Uttar Pradesh Public Service Commission,2jrc0TsFOTKOIKpDDvg0ScWxox/0V,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING OF ADVT NO: D-6/E-1/2025, UTTAR PRADESH LEGISLATIVE DEPARTMENT ..",Uttar Pradesh Public Service Commission,JrOFOj9amtm6BFKFdXrIQmiSM/FtwZUlpuYuK7Vi8bMW0JnVDDyNnyBZnlktnpOUQxx7M2CUNZmwJ4tijpKlsiie6xKWkG54d4ZCEbWSvccZ36ZgotbxvL0eScUmjhF2mco,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"CORRIGENDUM NOTICE REGARDING ADVT.NO.D-6/E-1/2025, DIRECTORATE OF HOMOEOPATHY UT..",Uttar Pradesh Public Service Commission,cuH1SQ4U4nV9RpqRu4qObPaIAAc78LbqwwLCDxplJaSC/2,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"CORRIGENDUM NOTICE REGARDING ADVT.NO.D-6/E-1/2025, LABOUR DEPARTMENT UTTAR PRADE..",Uttar Pradesh Public Service Commission,qKRQMSdqocshj1nAVhyMJptF95JH7wcW0/6uuDd1lRrlOcbuW8XcVRjIbjgYke9xBfdu,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"CORRIGENDUM NOTICE REGARDING ADVT.NO.D-6/E-1/2025, DIRECTORATE OF UNANI UTTAR PR..",Uttar Pradesh Public Service Commission,o2EGWjkNPV6MA8qzrOPzWgutDTCegNTObnyNqc9Zb5ttyIQyVFXYdOmPkCyOx2LxA3FB7oVGlUawfJSihra4XNnT8ins0Q5eesqytfVps9r9QyjgwBIwqqBTck6AOgL1HvYHZ9FPBc1S0npVIqWyGt1,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT. NO. D-6/E-1/2025, UTTAR PRADESH LIVESTOCK DEPARTMENT, VETERINARY OFFICER, S-02/08",Uttar Pradesh Public Service Commission,askuV3KCvCAlpEDfpBDKe1RoE8AHdCfRuAVo3XKX99t0ax6Rb,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"CORRIGENDUM NOTICE REGARDING ADVT. NO. D-6/E-1/2025, MEDICAL HEALTH AND FAMILY W..",Uttar Pradesh Public Service Commission,Uo86rImid/2eVtGKZMbXGFUkIuWPX3Ss4gqrMy2FJrgSnNiENl1a9V0UC53YzDZ,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT. NO. D-2/E-1/2024, ASSISTANT ARCHITECT, S-06/01 (PUBLIC WO..",Uttar Pradesh Public Service Commission,CnqZWkJHg8GUwkfGVSIhkILZN2tNLQSMPo9sJpaBprTQcRgXzOUc/Bx/5ImNDlXbtOm2HASZXzo5ajKccQoP7bDQ7/lOUdWfgi40i3etGatdIl3kJEB,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT. NO. D-6/E-1/2025, FOOD SAFETY AND DRUG ADMINISTRATION UTT..",Uttar Pradesh Public Service Commission,M1uLUmSqHC6viJbHkr/J/GNYhJ3UDxBOnVhnEuc5K,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"NOTICE REGARDING ADVT. NO. D-6/E-1/2025, DIRECTORATE GENERAL OF FAMILY WELFARE U..",Uttar Pradesh Public Service Commission,SoC1zEZDXQfjnzCRZ50ekoBoR4iYNzNRbLhFiXzzi4P9CU6deRiVEzEZq4QQF1M/zOprUOqkMxeKUD2PbtnRxkiEKz44PqaIej/12pSyedbNVIKvAw234DPd6kv7TVJMj37rIHcdEheAsO06KGC7EDAIBGdXby8cVxIGJcneeLXvjMhkHt6A9UYfk2Kga9wXNiV2EhAZ3VSu,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"CLICK HERE TO DOWNLOAD MARKSHEET & CUT OFF FOR ADVT. NO. D-5-E-1-2025, [S-03-06].",Uttar Pradesh Public Service Commission,I4VNIAOpIO0mr534LkdmxtPFZXkJeLfxGSz2ZrmBO9jOh4Zbv5KmlWtuQm1N077f8WA6qvUlaSpCWNfEqq48P6xmtItOq,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"CLICK HERE TO DOWNLOAD ADMIT CARD FOR ADVT. NO. A-7/E-1/2025, ASSISTANT PROFESSOR, GOVT. DEGREE COLLEGE MAINS EXAM-2025.",Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
More >>,Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"19 Dec 2026 NOTICE REGARDING ADVT. NO. D-6/E-1/2025, DIRECTORATE OF AYURVEDA UTTAR PRADESH, MEDICAL OFFICER COMMUNITY HEALTH (AYURVEDIC AND UNANI) S-09/06",Uttar Pradesh Public Service Commission,CaGA//VScweJ,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"20 Dec 2026 NOTICE REGARDING ADVT. NO. D-6/E-1/2025, DIRECTORATE OF AYURVEDA UTTAR PRADESH, CHIKITSA ADHIKARI (AYURVED) S-09/05",Uttar Pradesh Public Service Commission,8T/ZCLU00H7dlMN/GTuGcJ6fbkul,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"24 Oct 2026 CORRIGENDUM NOTICE REGARDING ADVT.NO.D-6/E-1/2025, DIRECTORATE OF HOMOEOPATHY UTTAR PRADESH / HOMOEOPATHIC MEDICAL OFFICER, S-11/32",Uttar Pradesh Public Service Commission,eYzV1HWgeSgIDuuTSiI,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"24 Oct 2026 CORRIGENDUM NOTICE REGARDING ADVT.NO.D-6/E-1/2025, LABOUR DEPARTMENT UTTAR PRADESH / CHIKITSA ADHIKARI (HOMOEOPATHIC), S-11/31",Uttar Pradesh Public Service Commission,DUSZGd,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"19 Oct 2026 RESULT OF ADVT. NO. D-2/E-1/2024, HIGHER EDUCATION DEPARTMENT UTTAR PRADESH, REGISTRAR, S-03/01",Uttar Pradesh Public Service Commission,Y7hNQWGIxHz9/HPDj7JQh1mVoxdGF0UL,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"26 Sep 2026 NOTICE REGARDING DOCUMENT VERIFICATION OF ADVT. NO. A-5/E-1/2025, ASSISTANT TEACHER TRAINED GRADUATE (M./F.) EXAM 2025, COMMERCE, AGRI/HORTI, SCIENCE",Uttar Pradesh Public Service Commission,7AvMmL0bcpoKI,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"18 Oct 2026 LIST OF PROVISIONALLY SELECTED CANDIDATES IN ADVT. NO. A-5/E-1/2025, ASSISTANT TEACHER TRAINED GRADUATE (M./F.) EXAM 2025, SUBJECT- SCIENCE",Uttar Pradesh Public Service Commission,h6oOClPZkOiXg4ms1zUCPOG8ViEDUnlstEnT/fDRLvBlDboCBEts/k9SoCImoEtM/Tl7hMS/y3qCG5pUM,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"17 Oct 2026 RESULT OF ADVT. NO.D-2/E-1/2024, UTTAR PRADESH AYUSH (AYURVEDA) DEPARTMENT, Reader Rachna Shareer, S-9/04",Uttar Pradesh Public Service Commission,eieQ,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"28 Oct 2026 CORRIGENDUM NOTICE REGARDING ADVT. NO. D-6/E-1/2025, FOOD SAFETY AND DRUG ADMINISTRATION U.P./ INSPECTOR OF DRUGS S-06/04",Uttar Pradesh Public Service Commission,ACCkI2Pd,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"24 Oct 2026 NOTICE REGARDING INTERVIEW SCHEDULE OF ADVT. NO. A-1/E-1/2025, COMBINED STATE/UPPER SUBORDINATE SERVICES (M.) EXAM.-2025",Uttar Pradesh Public Service Commission,OOBEF0D3NIB2Ot9FPfbttIk0LiMDX7xs12HO/JtzacKeKah5Q/iAZQMYJMsxCC7e6o8kV4po52jYo0IjR36dtCwhl6THCVHQjpaudT4A3Xs,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"01 Oct 2026 NOTICE REGARDING ADMIT CARD OF ADVT. NO. A-7/E-1/2025, ASSISTANT PROFESSOR, GOVT. DEGREE COLLEGE MAINS EXAM-2025",Uttar Pradesh Public Service Commission,z5uwebMohQHVKEHlRN0fWK5rW6CKA/Yeh0GjkByQlPh2N5VoTSSoO5ho23Qmytp517O63IwWAfdAGgMH,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"03 Oct 2026 NOTICE REGARDING FOR ADVT NO. A-10/E-1/2025, ASSISTANT TOWN PLANNER (SPL. RECT.) (MAIN.) EXAM.-2025",Uttar Pradesh Public Service Commission,ter,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
"22 Sep 2026 NOTICE REGARDING DOWNLOAD MARKSHEET & CUT OFF FOR ADVT. NO. D-5-E-1-2025, [S-03-06]",Uttar Pradesh Public Service Commission,UjOwECBq0FD9arbVbgjUWeNtRyiXvfZHZfKvs8c4LG7YmpeZvpeoIwHj8KN/JvnTwprz7XnJ/4v9CBLQrzqG9g1F2t5gmTcmLNl80NNdJylZnKKm9Up/Z1gdZgfjUynVj/lgc00kzOglS9f9w8CoLek54h5vTy5CfSZq44Q/4bVFMwVfNmO8D8iwpr8ANOEEYsBLTPnnXtFqZFsUwnmCR5GcjjdNgWslDixwQp,STATE_PSC,,Uttar Pradesh,,,,,,,,,,,https://uppsc.up.nic.in/PublicPages/Recruitment_Details.aspx?ID=IO',,,,,,,,,,
